Date,AQHI_Central/Western,AQHI_Eastern,AQHI_Kwun Tong,AQHI_Sham Shui Po,AQHI_Kwai Chung,AQHI_Tsuen Wan,AQHI_Yuen Long,AQHI_Tuen Mun,AQHI_Tung Chung,AQHI_Tai Po,AQHI_Sha Tin,AQHI_Tap Mun,AQHI_Causeway Bay,AQHI_Central,AQHI_Mong Kok,AQHI_Tseung Kwan O,AQHI_Southern,AQHI_North,Cyclone_Present,HUM_CCH,HUM_HKA,HUM_HKO,HUM_JKB,HUM_KP,HUM_KSC,HUM_LFS,HUM_PEN,HUM_SEK,HUM_SHA,HUM_SKG,HUM_SSH,HUM_TC,HUM_TKL,HUM_TMS,HUM_TYW,HUM_YCT,PDIR_BHD,PDIR_CCB,PDIR_CCH,PDIR_CP1,PDIR_GI,PDIR_HKA,PDIR_HKS,PDIR_JKB,PDIR_KP,PDIR_LAM,PDIR_LFS,PDIR_NGP,PDIR_NP,PDIR_PEN,PDIR_PLC,PDIR_SC,PDIR_SE,PDIR_SEK,PDIR_SF,PDIR_SHA,PDIR_SHL,PDIR_SKG,PDIR_TC,PDIR_TKL,PDIR_TME,PDIR_TPK,PDIR_TUN,PDIR_WGL,PDIR_WLP,WSPD_BHD,WSPD_CCB,WSPD_CCH,WSPD_CP1,WSPD_GI,WSPD_HKA,WSPD_HKS,WSPD_JKB,WSPD_KP,WSPD_LAM,WSPD_LFS,WSPD_NGP,WSPD_NP,WSPD_PEN,WSPD_PLC,WSPD_SC,WSPD_SE,WSPD_SEK,WSPD_SF,WSPD_SHA,WSPD_SHL,WSPD_SKG,WSPD_TC,WSPD_TKL,WSPD_TME,WSPD_TPK,WSPD_TUN,WSPD_WGL,WSPD_WLP
2026-04-19,6,7,7,6,6,5,6,6,3,5,5,5,6,6,7,6,5,6,0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,270.0,270,270,270,270,225,0.0,0.0,270.0,0.0,180.0,315.0,270.0,270.0,225.0,225.0,225.0,0.0,315.0,0.0,225.0,180.0,225.0,0.0,270.0,225.0,90.0,0.0,0.0,15.0,3.0,9.0,7.0,4.0,8.0,0.0,3.0,7.0,0.0,1.0,15.0,8.0,1.0,4.3,8.0,4.3,1.0,9.0,0.0,4.3,3.0,4.3,0.0,3.0,1.0,1.0,0.0,0.0
2026-04-19 01:01,6,7,7,6,6,5,6,6,3,5,5,5,6,6,7,6,5,6,0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,270,270,270,270,270,225,0.0,315,270,0.0,135,315,270,0.0,225.0,225,225.0,0.0,315,180,225.0,0.0,225.0,0.0,0,270,0.0,0.0,0.0,12.0,5.0,11.0,9.0,4.0,13.0,0.0,3.0,4.0,0.0,5.0,12.0,7.0,0.0,4.1,10.0,4.1,0.0,8.0,1.0,4.1,1.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0
2026-04-19 01:28,6,7,7,6,6,5,6,6,3,5,5,5,6,6,7,6,5,6,0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,270,270,270,315,270,225,0.0,315,270,0.0,270,315,270,45,225.0,0.0,225.0,90,270,0.0,225.0,0,225.0,0.0,0.0,225,135,0.0,0.0,14.0,4.0,11.0,12.0,3.0,14.0,0.0,4.0,8.0,0.0,1.0,13.0,12.0,1.0,4.9,6.0,4.9,1.0,11.0,0.0,4.9,3.0,4.9,0.0,0.0,3.0,4.0,0.0,0.0
2026-04-19 02:33,6,6,6,6,5,4,5,5,2,5,5,4,5,6,6,5,4,4,0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,270,315,315,270,0,270,0.0,0,270,45,180,315,270,315,225.0,0.0,225.0,0.0,270,0.0,225.0,0.0,225.0,0.0,315,225,0.0,0.0,180,12.0,3.0,5.0,9.0,11.0,8.0,0.0,1.0,8.0,1.0,6.0,17.0,12.0,5.0,4.6,3.0,4.6,0.0,9.0,1.0,4.6,1.0,4.6,0.0,1.0,1.0,0.0,0.0,1.0
2026-04-19 03:33,5,5,6,5,5,4,4,4,2,5,4,5,5,6,5,5,4,4,0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,270,90,90,270,0,0.0,0.0,0,270,90,180,0,270,315,225.0,0.0,225.0,0.0,270,270,225.0,0.0,225.0,0.0,270,90,0.0,0.0,0.0,10.0,6.0,6.0,8.0,9.0,3.0,0.0,1.0,3.0,1.0,6.0,12.0,9.0,12.0,4.0,5.0,4.0,1.0,8.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0
2026-04-19 04:25,5,5,6,5,5,4,4,4,2,5,4,5,5,6,5,5,4,4,0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,270,90,90,270,0,0.0,0.0,315,270,0,135,0,270,315,225.0,0,225.0,0.0,270,0.0,225.0,0.0,225.0,0.0,90,0.0,0.0,0.0,0.0,5.0,5.0,8.0,8.0,8.0,3.0,0.0,1.0,3.0,3.0,5.0,16.0,8.0,3.0,3.5,6.0,3.5,0.0,5.0,0.0,3.5,0.0,3.5,0.0,1.0,0.0,1.0,0.0,0.0
2026-04-19 05:24,5,5,5,5,4,4,4,4,2,4,4,4,4,5,5,5,4,4,0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,270,45,45,270,315,0.0,0.0,0,225,0,135,45,270,315,225.0,0,225.0,90,270,0.0,225.0,180,225.0,0.0,0.0,0.0,0,0.0,0.0,4.0,3.0,3.0,9.0,9.0,4.0,0.0,1.0,3.0,4.0,6.0,15.0,9.0,11.0,4.4,11.0,4.4,3.0,10.0,0.0,4.4,3.0,4.4,0.0,0.0,0.0,4.0,0.0,0.0
2026-04-19 06:23,4,4,4,4,4,4,4,4,2,4,4,4,4,5,4,4,4,3,0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0.0,0,0,315,0,180,0.0,0,270,0,135,45,0.0,0,225.0,0.0,225.0,0.0,0.0,0.0,225.0,90,225.0,0.0,90,0.0,45,0.0,180,0.0,3.0,5.0,6.0,6.0,3.0,0.0,1.0,1.0,1.0,11.0,17.0,0.0,4.0,2.4,4.0,2.4,0.0,0.0,0.0,2.4,1.0,2.4,0.0,1.0,0.0,1.0,0.0,1.0
2026-04-19 07:25,4,4,4,4,4,4,3,4,2,4,3,3,4,5,4,4,3,3,0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,270,270,315,315,0.0,0.0,0.0,270,0.0,180,90,0.0,0.0,225.0,0.0,225.0,0.0,315,0.0,225.0,0.0,225.0,0.0,45,0.0,135,0.0,0.0,0.0,5.0,9.0,9.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,10.0,0.0,0.0,2.3,3.0,2.3,0.0,4.0,0.0,2.3,0.0,2.3,0.0,1.0,0.0,1.0,0.0,0.0
2026-04-19 09:43,4,5,4,5,4,4,4,4,3,4,4,4,4,5,5,4,4,3,0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,0.0,90,90,315,270,270,225,90,270,270,315,90,270,90,225.0,0.0,225.0,315,270,45,225.0,180,225.0,225,225,90,135,0.0,45,0.0,3.0,3.0,8.0,4.0,6.0,5.0,9.0,8.0,3.0,8.0,15.0,3.0,5.0,4.9,5.0,4.9,3.0,8.0,8.0,4.9,5.0,4.9,5.0,4.0,7.0,4.0,0.0,3.0
